text,intent
alumni entrepreneur network,layanan_alumni
arts and culture program,pengabdian_masyarakat
market access for community product,pengabdian_masyarakat
technology commercialization,inkubasi_startup
kompetisi bisnis mahasiswa,inkubasi_startup
university venture fund,inkubasi_startup
education research,riset_terapan
model united nations award,prestasi_non_akademik
women in tech program,kesetaraan_gender
alumni credit card,layanan_alumni
penangguhan studi karena pandemi,pandemi_covid19
schizophrenia support,kesehatan_mental
campus mobile app,fasilitas_digital
glass ceiling research,kesetaraan_gender
layanan kesehatan mental selama pandemi,pandemi_covid19
inclusive language guide,kesetaraan_gender
micro credential,kelas_internasional
addiction treatment,kesehatan_mental
backend development certificate,sertifikasi_mikro
carpool program,keberlanjutan
cctv with ai analytics,fasilitas_digital
post disaster reconstruction,pengabdian_masyarakat
alumni linkedin group,layanan_alumni
equity free grant for startup,inkubasi_startup
disaster preparedness,bencana_alam
pertukaran pelajar selama pandemi,pandemi_covid19
gender research center,kesetaraan_gender
time management for mental health,kesehatan_mental
non binary student support,kesetaraan_gender
alumni newsletter,layanan_alumni
emergency medicine training,bencana_alam
maritime competition,prestasi_non_akademik
online certificate program,sertifikasi_mikro
alumni company visit,layanan_alumni
diplomacy program,kelas_internasional
gender neutral toilet,kesetaraan_gender
renewable energy for village,pengabdian_masyarakat
cloud computing for research,fasilitas_digital
youth development program,pengabdian_masyarakat
gender responsive pedagogy,kesetaraan_gender
drainage system,bencana_alam
ai computing cluster,fasilitas_digital
sports development in community,pengabdian_masyarakat
architecture competition,prestasi_non_akademik
buddy system,kesehatan_mental
action research,riset_terapan
urban planning research,riset_terapan
stress management,kesehatan_mental
fishery competition,prestasi_non_akademik
international research collaboration,kelas_internasional
composting facility,keberlanjutan
physics olympiad,prestasi_non_akademik
arbitration competition,prestasi_non_akademik
international student association,kelas_internasional
hospitalization for mental health,kesehatan_mental
fasilitas digital kampus,fasilitas_digital
kerjasama dengan rumah sakit,pandemi_covid19
trauma counseling,kesehatan_mental
community resilience,bencana_alam
multinational company recruitment,kelas_internasional
alumni scholarship fund,layanan_alumni
global citizenship program,kelas_internasional
zero waste campaign,keberlanjutan
smart city innovation,inkubasi_startup
sdg implementation in campus,keberlanjutan
edukasi pencegahan covid,pandemi_covid19
financial projection workshop,inkubasi_startup
disaster risk reduction research,bencana_alam
in house training,sertifikasi_mikro
earth day celebration,keberlanjutan
community based tourism,pengabdian_masyarakat
sustainability research,riset_terapan
pembatasan kapasitas ruangan,pandemi_covid19
pharmaceutical research,riset_terapan
men studies program,kesetaraan_gender
perfectionism counseling,kesehatan_mental
alumni advisory board,layanan_alumni
earthquake engineering,bencana_alam
material science research,riset_terapan
professional development course,sertifikasi_mikro
research impact assessment,riset_terapan
sexual harassment prevention,kesetaraan_gender
digital literacy program,pengabdian_masyarakat
full stack developer certificate,sertifikasi_mikro
thesis competition,prestasi_non_akademik
sustainability curriculum,keberlanjutan
alumni discount for further study,layanan_alumni
medication management,kesehatan_mental
3d printing facility,fasilitas_digital
disability support program,pengabdian_masyarakat
chemistry olympiad,prestasi_non_akademik
bipolar disorder support,kesehatan_mental
pet therapy,kesehatan_mental
executive mba,kelas_internasional
relationship counseling,kesehatan_mental
smart id card,fasilitas_digital
waste management,keberlanjutan
kelas malam untuk pekerja,kelas_internasional
digital signage,fasilitas_digital
circular economy research,keberlanjutan
exit strategy workshop,inkubasi_startup
nursing competition,prestasi_non_akademik
mental health support for community,pengabdian_masyarakat
translation certificate,sertifikasi_mikro
